[2023-05-08 18:00:49,820] INFO [Controller id=0 epoch=27] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2023-05-08 18:01:31,743] INFO [Controller id=0 epoch=28] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-05-08 18:01:31,759] INFO [Controller id=0 epoch=28] Sending LeaderAndIsr request to broker 0 with 93 become-leader and 0 become-follower partitions (state.change.logger)
[2023-05-08 18:01:31,760] INFO [Controller id=0 epoch=28] Sending UpdateMetadata request to brokers HashSet(0) for 93 partitions (state.change.logger)
[2023-05-08 18:01:31,777] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 93 partitions (state.change.logger)
[2023-05-08 18:01:31,806] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 28 as part of the become-leader transition for 93 partitions (state.change.logger)
[2023-05-08 18:01:31,850] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:31,859] INFO [Broker id=0] Leader test4-1 with topic id Some(XS9F0BcQRxqSUYg33D2yhw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:31,871] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:31,881] INFO [Broker id=0] Leader first_topics-1 with topic id Some(uvcs1kr4QrCv5t040zy59g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:31,891] INFO [Broker id=0] Leader test5-1 with topic id Some(CfwSNgw2Sny6QSXY3jmniQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:31,901] INFO [Broker id=0] Leader test8-1 with topic id Some(KWecw1pfT7-zRRdihFChuw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:31,911] INFO [Broker id=0] Leader test9-1 with topic id Some(bqr2lwobSt24FpgwRa8Wpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:31,922] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:31,932] INFO [Broker id=0] Leader test6-1 with topic id Some(uLdWFPO3SKW0QAHwmAUWEA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:31,944] INFO [Broker id=0] Leader test-0 with topic id Some(6a2qs-ChSQGpzLZsgiZ22A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:31,954] INFO [Broker id=0] Leader test7-1 with topic id Some(Gr5pBw9tSpqN7Ofrf2nuCA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
